Activity,Assignment,Attempt,Choice,Comment,Completion_state,Content,Course,Feedback,File_submission,File_submission ,Files,Folder,Grade,Option,Page,Quiz,Report,Resource,Response,Session,Submission,Submission ,Submission_state,Submission_status,Submission_text,URL,assignment,attempt,choice,content,feedback,file_submission,files,folder,page,quiz,resource,response,session,submission,submission_status
36.0,90.0,286.0,5.0,,13.0,83.0,9.0,7.0,19.0,8.0,,17.0,3.0,1.0,3.0,12.0,,10.0,153.0,,29.0,2.0,36.0,33.0,6.0,1.0,7.0,,,11.0,1.0,1.0,,1.0,,,7.0,,,3.0,5.0
70.0,93.0,382.0,14.0,,14.0,85.0,55.0,4.0,11.0,14.0,1.0,14.0,4.0,1.0,2.0,14.0,4.0,3.0,323.0,3.0,19.0,5.0,27.0,89.0,4.0,,4.0,,,,,,,,,,,,,,4.0
54.0,127.0,398.0,8.0,,12.0,198.0,29.0,5.0,16.0,8.0,,29.0,5.0,1.0,3.0,3.0,,31.0,236.0,2.0,30.0,2.0,62.0,62.0,6.0,,25.0,,,31.0,,1.0,,2.0,,2.0,,,,3.0,23.0
115.0,122.0,219.0,6.0,,16.0,191.0,8.0,14.0,17.0,8.0,,24.0,4.0,1.0,5.0,7.0,,13.0,151.0,1.0,28.0,4.0,70.0,35.0,6.0,,7.0,,,8.0,1.0,1.0,,,,,,,,3.0,5.0
15.0,63.0,264.0,4.0,,11.0,53.0,9.0,5.0,13.0,6.0,,4.0,1.0,1.0,,4.0,,8.0,159.0,,16.0,2.0,28.0,26.0,2.0,1.0,5.0,,,2.0,,1.0,,1.0,,,,,,3.0,3.0
20.0,60.0,226.0,4.0,,9.0,97.0,15.0,4.0,12.0,3.0,,31.0,1.0,1.0,1.0,5.0,,28.0,148.0,1.0,16.0,2.0,27.0,25.0,1.0,1.0,5.0,,,5.0,,1.0,,1.0,,,,,,3.0,3.0
33.0,61.0,129.0,6.0,,10.0,54.0,6.0,9.0,12.0,12.0,,20.0,1.0,1.0,2.0,2.0,,16.0,122.0,2.0,17.0,5.0,33.0,23.0,1.0,,,,,,,,,,,,,,,,
52.0,160.0,279.0,5.0,,15.0,143.0,14.0,14.0,26.0,10.0,,31.0,2.0,1.0,6.0,9.0,,14.0,165.0,,33.0,3.0,78.0,58.0,6.0,2.0,12.0,,2.0,10.0,1.0,1.0,,1.0,,1.0,,,,3.0,10.0
46.0,99.0,178.0,5.0,,12.0,117.0,14.0,17.0,16.0,12.0,1.0,27.0,1.0,1.0,,10.0,,16.0,98.0,,24.0,5.0,47.0,51.0,5.0,,7.0,,,8.0,,1.0,,1.0,,,,,,3.0,5.0
22.0,85.0,234.0,5.0,,14.0,55.0,5.0,16.0,13.0,9.0,,9.0,4.0,1.0,1.0,4.0,,14.0,130.0,1.0,22.0,2.0,44.0,27.0,5.0,2.0,14.0,,,11.0,,1.0,,,,1.0,,,,3.0,12.0
58.0,196.0,209.0,10.0,,18.0,147.0,14.0,32.0,21.0,16.0,,46.0,3.0,1.0,9.0,2.0,,21.0,179.0,,32.0,4.0,118.0,62.0,6.0,3.0,31.0,,,14.0,9.0,2.0,,4.0,,1.0,,,,6.0,27.0
40.0,85.0,137.0,5.0,,12.0,84.0,3.0,10.0,17.0,15.0,,20.0,3.0,1.0,,2.0,,19.0,120.0,,27.0,6.0,36.0,35.0,6.0,5.0,10.0,,,3.0,,2.0,,,,,,,,6.0,6.0
67.0,236.0,280.0,9.0,,24.0,161.0,17.0,51.0,25.0,12.0,,109.0,4.0,1.0,7.0,3.0,,28.0,265.0,18.0,34.0,4.0,144.0,86.0,8.0,1.0,22.0,,,8.0,9.0,,,11.0,,3.0,,,,,22.0
37.0,107.0,283.0,7.0,,14.0,116.0,23.0,5.0,16.0,13.0,,44.0,1.0,1.0,4.0,5.0,,17.0,174.0,3.0,21.0,5.0,47.0,57.0,4.0,1.0,11.0,,,13.0,,1.0,,2.0,,,,,,3.0,9.0
36.0,105.0,335.0,10.0,,11.0,77.0,8.0,19.0,20.0,7.0,,38.0,21.0,1.0,3.0,7.0,,25.0,229.0,,31.0,2.0,54.0,32.0,6.0,2.0,5.0,,,2.0,,1.0,,1.0,,,,,,3.0,3.0
